term,freq,weight
00participants,1,1.0
00paulo,1,1.0
00payment,2,1.6931471805599454
00per,2,1.6931471805599454
00permillion,1,1.0
00pg,1,1.0
00place,1,1.0
00please,13,3.5649493574615367
00pm,11,3.3978952727983707
00pmto,1,1.0
00pnm,1,1.0
00powder,1,1.0
00power,1,1.0
00predictable,1,1.0
00price,3,2.0986122886681096
00pringle,1,1.0
00print,1,1.0
00prudential,1,1.0
00quantity,1,1.0
00r,1,1.0
00rasmussen,2,1.6931471805599454
00re,1,1.0
00refco,1,1.0
00register,1,1.0
00registrant,6,2.791759469228055
00regular,1,1.0
00rel,4,2.386294361119891
00republic,3,2.0986122886681096
00reyes,2,1.6931471805599454
00royed,1,1.0
00saul,1,1.0
00scholtes,2,1.6931471805599454
00semperger,2,1.6931471805599454
00severson,1,1.0
00sheppard,2,1.6931471805599454
00sherlyn,4,2.386294361119891
00sheryln,1,1.0
00shields,2,1.6931471805599454
00shipping,2,1.6931471805599454
00shopping,1,1.0
00short,1,1.0
00sitara,1,1.0
00site,2,1.6931471805599454
00slaughter,2,1.6931471805599454
00smith,2,1.6931471805599454
00soderquist,2,1.6931471805599454
00sp,32,4.465735902799727
00sprowles,1,1.0
00stacey,1,1.0
00steiner,2,1.6931471805599454
00subscription,4,2.386294361119891
00success,1,1.0
00sum,1,1.0
00summary,1,1.0
00surcharge,1,1.0
00swift,1,1.0
00tanya,1,1.0
00tax,2,1.6931471805599454
00ted,1,1.0
00term,1,1.0
00thank,5,2.6094379124341005
00thanks,4,2.386294361119891
00thankskevin,3,2.0986122886681096
00the,17,3.833213344056216
00this,16,3.772588722239781
00throught,1,1.0
00thu,1,1.0
00thursday,1,1.0
00to,9,3.197224577336219
00tobychristine,1,1.0
00tobylindy,1,1.0
00total,11,3.3978952727983707
00totals,3,2.0986122886681096
00tuesday,1,1.0
00tully,2,1.6931471805599454
00two,4,2.386294361119891
00txu,2,1.6931471805599454
00u,1,1.0
00uk,1,1.0
00until,1,1.0
00used,1,1.0
00usgt,1,1.0
00valarie,1,1.0
00valdes,1,1.0
00van,2,1.6931471805599454
00variable,2,1.6931471805599454
00villeggiante,2,1.6931471805599454
00vince,2,1.6931471805599454
00virginia,3,2.0986122886681096
00virgpwr,1,1.0
00volumes,7,2.9459101490553135
00waha,8,3.0794415416798357
00warner,2,1.6931471805599454
00we,7,2.9459101490553135
00week,1,1.0
00wente,2,1.6931471805599454
00williams,4,2.386294361119891
00winfree,1,1.0
00yoder,2,1.6931471805599454
00your,1,1.0
010pg,1,1.0
012this,1,1.0
013real,1,1.0
014loc,4,2.386294361119891
015external,2,1.6931471805599454
0161e,5,2.6094379124341005
01730tel,1,1.0
0180sept,1,1.0
0181london,1,1.0
01867jshorter,1,1.0
018total,2,1.6931471805599454
0191do,1,1.0
019epmi,2,1.6931471805599454
019hope,1,1.0
01a,13,3.5649493574615367
01accounting,1,1.0
01action,3,2.0986122886681096
01aes,3,2.0986122886681096
01afl,2,1.6931471805599454
01after,2,1.6931471805599454
01aggregate,1,1.0
01agl,1,1.0
01all,2,1.6931471805599454
01alliance,1,1.0
01am,3,2.0986122886681096
01an,2,1.6931471805599454
01analysis,1,1.0
01analyst,3,2.0986122886681096
01analysts,1,1.0
01and,1,1.0
01andersen,3,2.0986122886681096
01apache,2,1.6931471805599454
01aquila,1,1.0
01argentine,1,1.0
01arthur,2,1.6931471805599454
01as,6,2.791759469228055
01asia,1,1.0
01associate,1,1.0
01at,2,1.6931471805599454
01attached,3,2.0986122886681096
01attorney,1,1.0
01auditor,1,1.0
01australia,1,1.0
01average,1,1.0
01azurix,2,1.6931471805599454
01balance,1,1.0
01ballpark,1,1.0
01bandwidth,7,2.9459101490553135
01bankers,1,1.0
01bankrupt,1,1.0
01bankruptcy,1,1.0
01banks,1,1.0
01battered,1,1.0
01before,1,1.0
01berger,3,2.0986122886681096
01bev,1,1.0
01beware,1,1.0
01bg,7,2.9459101490553135
01big,1,1.0
01bill,1,1.0
01billion,4,2.386294361119891
01bin,1,1.0
01bleak,1,1.0
01blowbackdaniel,2,1.6931471805599454
01bond,1,1.0
01bonds,1,1.0
01brazil,4,2.386294361119891
01britain,1,1.0
01british,1,1.0
01broadband,1,1.0
01bses,1,1.0
01bullish,1,1.0
01bush,4,2.386294361119891
01business,4,2.386294361119891
01businessjim,1,1.0
01by,1,1.0
01calif,3,2.0986122886681096
01california,4,2.386294361119891
01calpers,3,2.0986122886681096
01can,2,1.6931471805599454
01canada,1,1.0
01canadian,1,1.0
01career,1,1.0
01carlos,2,1.6931471805599454
01carly,6,2.791759469228055
01cash,1,1.0
01cauley,4,2.386294361119891
01centrica,1,1.0
01ceo,1,1.0
01chairman,1,1.0
01chase,1,1.0
01chevrontexaco,2,1.6931471805599454
01chris,4,2.386294361119891
01chronology,1,1.0
01cibc,1,1.0
01circling,1,1.0
01cisco,1,1.0
01citi,1,1.0
01citigroup,4,2.386294361119891
01city,10,3.3025850929940455
01clarification,1,1.0
01class,1,1.0
01clickpaper,1,1.0
01cnnfn,1,1.0
01cohen,2,1.6931471805599454
01collapse,1,1.0
01comment,1,1.0
01commentary,2,1.6931471805599454
01commerzbank,2,1.6931471805599454
01companies,35,4.555348061489413
01compaq,1,1.0
01competing,1,1.0
01confused,1,1.0
01congressional,1,1.0
01consortium,1,1.0
01content,1,1.0
01cooperation,1,1.0
01coordinator,1,1.0
01copies,1,1.0
01corporate,3,2.0986122886681096
01correctionsthe,1,1.0
01counting,1,1.0
01cpuc,1,1.0
01credit,1,1.0
01creditsights,1,1.0
01csfb,1,1.0
01current,3,2.0986122886681096
01dabhol,6,2.791759469228055
01daily,1,1.0
01daren,3,2.0986122886681096
01darren,1,1.0
01daschle,1,1.0
01date,10,3.3025850929940455
01davis,1,1.0
01deal,3,2.0986122886681096
01dealings,1,1.0
01deals,5,2.6094379124341005
01dear,1,1.0
01debt,1,1.0
01decision,1,1.0
01demise,1,1.0
01deregulation,2,1.6931471805599454
01derivatives,2,1.6931471805599454
01deutsche,1,1.0
01devon,3,2.0986122886681096
01dhabol,1,1.0
01did,3,2.0986122886681096
01dj,2,1.6931471805599454
01do,1,1.0
01does,1,1.0
01dollar,2,1.6931471805599454
01domestic,1,1.0
01dominion,1,1.0
01don,1,1.0
01done,1,1.0
01dot,1,1.0
01dow,1,1.0
01drop,8,3.0794415416798357
01due,1,1.0
01dueling,2,1.6931471805599454
01duke,4,2.386294361119891
01dynegy,80,5.382026634673881
01easton,1,1.0
01economic,1,1.0
01economyenron,3,2.0986122886681096
01edf,1,1.0
01edison,1,1.0
01editor,1,1.0
01ees,1,1.0
01electrabel,1,1.0
01employees,2,1.6931471805599454
01ena,1,1.0
01end,1,1.0
01energy,9,3.197224577336219
01enron,520,7.253828811575473
01enrononline,2,1.6931471805599454
01eott,2,1.6931471805599454
01epdc,1,1.0
01equity,1,1.0
01equiva,1,1.0
01europe,2,1.6931471805599454
01everest,3,2.0986122886681096
01exchanges,1,1.0
01fair,1,1.0
01fall,7,2.9459101490553135
01fate,1,1.0
01fears,1,1.0
01federal,1,1.0
01ferc,3,2.0986122886681096
01finance,2,1.6931471805599454
01financial,3,2.0986122886681096
01financing,1,1.0
01first,1,1.0
01fitch,11,3.3978952727983707
01flying,1,1.0
01fool,1,1.0
01for,2,1.6931471805599454
01former,4,2.386294361119891
01foundation,1,1.0
01fraud,1,1.0
01free,2,1.6931471805599454
01from,1,1.0
01front,18,3.8903717578961645
01fuels,1,1.0
01fundie,1,1.0
01funds,1,1.0
01gas,2,1.6931471805599454
01german,2,1.6931471805599454
01germany,3,2.0986122886681096
01global,10,3.3025850929940455
01gold,1,1.0
01greenspan,1,1.0
01greg,1,1.0
01group,1,1.0
01hagens,1,1.0
01harris,1,1.0
01harvey,3,2.0986122886681096
01have,1,1.0
01heading,3,2.0986122886681096
01heard,1,1.0
01heartened,1,1.0
01hedging,1,1.0
01hel,1,1.0
01help,1,1.0
01hi,1,1.0
01hobbled,1,1.0
01hooked,1,1.0
01house,3,2.0986122886681096
01houston,3,2.0986122886681096
01how,6,2.791759469228055
01http,2,1.6931471805599454
01i,9,3.197224577336219
01ifr,1,1.0
01immediate,3,2.0986122886681096
01importance,3,2.0986122886681096
01in,24,4.178053830347945
01incremental,1,1.0
01india,33,4.49650756146648
01indian,7,2.9459101490553135
01innogy,1,1.0
01inside,5,2.6094379124341005
01insiders,3,2.0986122886681096
01intelligent,1,1.0
01intercontinental,1,1.0
01internet,1,1.0
01interview,2,1.6931471805599454
01inventory,1,1.0
01investors,7,2.9459101490553135
01is,1,1.0
01italian,1,1.0
01j,4,2.386294361119891
01janus,3,2.0986122886681096
01japan,6,2.791759469228055
01jean,1,1.0
01jesse,1,1.0
01john,1,1.0
01johnson,1,1.0
01just,1,1.0
01kaplan,1,1.0
01keller,3,2.0986122886681096
01kenneth,1,1.0
01kent,1,1.0
01key,1,1.0
01kkr,1,1.0
01late,1,1.0
01laura,1,1.0
01lawmaker,1,1.0
01lawsuit,1,1.0
01lay,3,2.0986122886681096
01legal,2,1.6931471805599454
01lemon,1,1.0
01lenders,1,1.0
01lex,6,2.791759469228055
01liberty,1,1.0
01lisa,1,1.0
01look,1,1.0
01louise,1,1.0
01maharashtra,1,1.0
01major,2,1.6931471805599454
01man,1,1.0
01manager,4,2.386294361119891
01mariner,3,2.0986122886681096
01mark,2,1.6931471805599454
01market,4,2.386294361119891
01markets,2,1.6931471805599454
01maureen,1,1.0
01merger,2,1.6931471805599454
01microsoft,1,1.0
01mid,1,1.0
01mike,1,1.0
01minnesota,3,2.0986122886681096
01mirant,1,1.0
01money,2,1.6931471805599454
01moody,4,2.386294361119891
01most,9,3.197224577336219
01natural,1,1.0
01need,1,1.0
01new,11,3.3978952727983707
01newpower,3,2.0986122886681096
01no,2,1.6931471805599454
01nom,19,3.9444389791664403
01nominations,1,1.0
01nord,1,1.0
01northern,2,1.6931471805599454
01norway,1,1.0
01note,1,1.0
01nvidia,2,1.6931471805599454
01nymex,3,2.0986122886681096
01observer,5,2.6094379124341005
01official,3,2.0986122886681096
01officials,1,1.0
01on,1,1.0
01once,3,2.0986122886681096
01options,2,1.6931471805599454
01or,1,1.0
01our,1,1.0
01pain,1,1.0
01partisanship,1,1.0
01partnership,1,1.0
01path,1,1.0
01pension,1,1.0
01per,3,2.0986122886681096
01perm,14,3.6390573296152584
01personal,1,1.0
01petrobras,1,1.0
01pge,1,1.0
01phew,3,2.0986122886681096
01pick,1,1.0
01pjmto,1,1.0
01platform,1,1.0
01play,1,1.0
01playing,1,1.0
01please,9,3.197224577336219
01plenty,1,1.0
01plumbing,3,2.0986122886681096
01plunge,1,1.0
01pm,9,3.197224577336219
01point,2,1.6931471805599454
01portland,1,1.0
01power,11,3.3978952727983707
01powergen,1,1.0
01press,1,1.0
01pressure,1,1.0
01pressured,3,2.0986122886681096
01preview,1,1.0
01primary,3,2.0986122886681096
01prod,1,1.0
01q,1,1.0
01quanta,1,1.0
01rabin,1,1.0
01ratings,1,1.0
01raymond,2,1.6931471805599454
01rec,1,1.0
01receipts,1,1.0
01regulators,1,1.0
01related,3,2.0986122886681096
01reliant,1,1.0
01repeat,2,1.6931471805599454
01report,3,2.0986122886681096
01review,1,1.0
01royal,1,1.0
01rpt,2,1.6931471805599454
01rt,2,1.6931471805599454
01s,12,3.4849066497880004
01sabrae,1,1.0
01sc,14,3.6390573296152584
01schwab,1,1.0
01scope,1,1.0
01sec,9,3.197224577336219
01see,1,1.0
01selective,1,1.0
01sempra,2,1.6931471805599454
01senate,1,1.0
01sent,2,1.6931471805599454
01seven,1,1.0
01shapiro,3,2.0986122886681096
01share,1,1.0
01shares,5,2.6094379124341005
01shell,4,2.386294361119891
01sizable,1,1.0
01small,5,2.6094379124341005
01smartmoney,1,1.0
01some,5,2.6094379124341005
01source,1,1.0
01sp,2,1.6931471805599454
01spaeth,1,1.0
01spector,3,2.0986122886681096
01stadium,1,1.0
01stmt,1,1.0
01stock,7,2.9459101490553135
01stocks,10,3.3025850929940455
01stocksmore,3,2.0986122886681096
01stockwatch,9,3.197224577336219
01strong,1,1.0
01students,1,1.0
01sudhakar,3,2.0986122886681096
01suit,1,1.0
01suitor,1,1.0
01summarytiming,1,1.0
01surest,1,1.0
01surge,3,2.0986122886681096
01switzerland,1,1.0
01tables,1,1.0
01takeover,1,1.0
01tales,2,1.6931471805599454
01talks,1,1.0
01tata,1,1.0
01tgs,3,2.0986122886681096
01that,2,1.6931471805599454
01the,32,4.465735902799727
01these,4,2.386294361119891
01this,3,2.0986122886681096
01through,2,1.6931471805599454
01tie,24,4.178053830347945
01to,8,3.0794415416798357
01top,1,1.0
01total,2,1.6931471805599454
01tractebel,1,1.0
01trading,1,1.0
01transaction,1,1.0
01transcanada,1,1.0
01transport,1,1.0
01treasurys,1,1.0
01troubled,1,1.0
01trusts,3,2.0986122886681096
01trying,1,1.0
01tw,1,1.0
01txu,1,1.0
01u,21,4.044522437723423
01uk,45,4.80666248977032
01uncertainties,1,1.0
01under,1,1.0
01uniprime,3,2.0986122886681096
01unit,1,1.0
01united,4,2.386294361119891
01unravelling,1,1.0
01unwind,1,1.0
01upgrades,1,1.0
01us,17,3.833213344056216
01usa,217,6.37989735354046
01valuation,1,1.0
01volatility,1,1.0
01volume,11,3.3978952727983707
01wait,1,1.0
01waiting,4,2.386294361119891
01wall,1,1.0
01waste,1,1.0
01watchdog,1,1.0
01we,7,2.9459101490553135
01wechsler,3,2.0986122886681096
01week,4,2.386294361119891
01weiss,3,2.0986122886681096
01wessex,1,1.0
01westlb,1,1.0
01westport,1,1.0
01what,4,2.386294361119891
01where,3,2.0986122886681096
01while,1,1.0
01why,5,2.6094379124341005
01will,1,1.0
01williams,4,2.386294361119891
01woes,1,1.0
01wolf,1,1.0
01word,3,2.0986122886681096
01workers,1,1.0
01world,16,3.772588722239781
01wrap,2,1.6931471805599454
01wsj,1,1.0
01yes,1,1.0
0200dear,1,1.0
0202meeting,1,1.0
020willie,2,1.6931471805599454
0213email,1,1.0
02163phone,1,1.0
02163u,1,1.0
02163voicemail,2,1.6931471805599454
021epmi,1,1.0
02215tel,1,1.0
0223emily,1,1.0
022epmi,2,1.6931471805599454
0232charlenex,5,2.6094379124341005
0240fax,1,1.0
024contract,2,1.6931471805599454
024gross,2,1.6931471805599454
0250for,1,1.0
025grand,1,1.0
0267participant,4,2.386294361119891
026sr,1,1.0
027note,2,1.6931471805599454
028co,1,1.0
0295doug,2,1.6931471805599454
02_,4,2.386294361119891
02am,6,2.791759469228055
02and,4,2.386294361119891
02california,1,1.0
02deal,4,2.386294361119891
02document,1,1.0
02enron,1,1.0
02fuel,2,1.6931471805599454
02gas,1,1.0
02gross,2,1.6931471805599454
02leadership,1,1.0
02p,1,1.0
02palo,2,1.6931471805599454
02pm,12,3.4849066497880004
02quality,4,2.386294361119891
02ra,2,1.6931471805599454
02receipt,1,1.0
02sc,81,5.394449154672438
02sincerely,1,1.0
02sj,1,1.0
02term,1,1.0
02thanks,2,1.6931471805599454
02the,1,1.0
02tie,48,4.871201010907891
02time,1,1.0
02to,7,2.9459101490553135
02total,1,1.0
0306enron,2,1.6931471805599454
030epmi,1,1.0
030northwest,1,1.0
0315this,2,1.6931471805599454
031greg,1,1.0
0331cell,2,1.6931471805599454
033date,1,1.0
033epmi,1,1.0
033qv,1,1.0
0347russ,1,1.0
034btu,2,1.6931471805599454
034epmi,1,1.0
0353fax,1,1.0
0353fx,1,1.0
035real,1,1.0
036474336transalta,1,1.0
037epmi,1,1.0
0385cell,2,1.6931471805599454
0390timothy,1,1.0
039epmi,1,1.0
03also,5,2.6094379124341005
03am,9,3.197224577336219
03bbb,3,2.0986122886681096
03california,1,1.0
03i,2,1.6931471805599454
03mid,1,1.0
03nepool,3,2.0986122886681096
03note,1,1.0
03plus0,1,1.0
03pm,10,3.3025850929940455
03receipt,2,1.6931471805599454
03short,1,1.0
03so,1,1.0
03sp,2,1.6931471805599454
03to,3,2.0986122886681096
03your,1,1.0
0400from,2,1.6931471805599454
0400message,2,1.6931471805599454
0400received,11,3.3978952727983707
0400subject,1,1.0
0407small,1,1.0
040real,1,1.0
0413business,1,1.0
0413cost,1,1.0
0413pager,2,1.6931471805599454
0413stephen,1,1.0
0413thankskevin,1,1.0
0424eb,1,1.0
0425fax,1,1.0
0428if,1,1.0
0429cell,1,1.0
0431telephone,1,1.0
0434email,2,1.6931471805599454
